DATE_ID,FULL_DATE,DAY_VALUE,WEEKDAY_NAME,IS_WEEKDAY,MONTH_VALUE,MONTH_NAME,FIRST_DAY_OF_MONTH,LAST_DAY_OF_MONTH,QUARTER_VALUE,FIRST_DAY_OF_QUARTER,LAST_DAY_OF_QUARTER,FIRST_DAY_OF_YEAR,LAST_DAY_OF_YEAR
20190101,2019-01-01,1,Tuesday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190102,2019-01-02,2,Wednesday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190103,2019-01-03,3,Thursday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190104,2019-01-04,4,Friday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190105,2019-01-05,5,Saturday,0,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190106,2019-01-06,6,Sunday,0,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190107,2019-01-07,7,Monday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190108,2019-01-08,8,Tuesday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190109,2019-01-09,9,Wednesday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190110,2019-01-10,10,Thursday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190111,2019-01-11,11,Friday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190112,2019-01-12,12,Saturday,0,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190113,2019-01-13,13,Sunday,0,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190114,2019-01-14,14,Monday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190115,2019-01-15,15,Tuesday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190116,2019-01-16,16,Wednesday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
20190117,2019-01-17,17,Thursday,1,1,January,20190101,20190131,1,20190101,20190331,20190101,20191231
